###################################################################################################################################
# Registry for WaveTank module 
# This Registry file is used to create WaveTank_Types.f90
# It also contains copy, destroy, pack, and unpack routines associated with each defined data types.
# See the NWTC Programmer's Handbook for further information on the format/contents of this file.
#
# Entries are of the form
# <keyword>    <ModuleName/ModName>    <TypeName>    <FieldType>    <FieldName>    <Dims>    <IO>    <DNAME>    <DESCRIP>    <UNITS>
#
# Use ^ as a shortcut for the value in the same column from the previous line.
###################################################################################################################################
# ...... Include files (definitions from NWTC Library) ............................................................................
include    Registry_NWTC_Library.txt
#

typedef  WaveTank/WT          SimType        c_double          DT                   -  -  -  "timestep" -

# NOTE: rigid geometry, no yaw, static pitch
typedef  ^                 MeshesMapsType    MeshMapType Motion_PRP_2_Twr           -  -  -  "PRP to tower motion" -
typedef  ^                    ^              ^           Motion_PRP_2_Hub           -  -  -  "Twrtop to nacelle - add rotation afterwards" -
typedef  ^                    ^              ^           Motion_Hub_2_BldRoot       -  -  -  "Hub to blade root motion transfer" -
typedef  ^                    ^              ^           Load_BldRoot_2_Hub         -  -  -  "Blade root loads to hub" -
typedef  ^                    ^              ^           Load_Hub_2_PRP             -  -  -  "Hub to nacelle load transfer" -
typedef  ^                    ^              ^           Load_Twr_2_PRP             -  -  -  "Tower loads to PRP (unused)" -

# temporary data storage for structural model
typedef  ^                    StructTmpType  ReKi        Azimuth                    -  0  -  "Current Azimuth" (rad)
typedef  ^                    ^              ^           RotSpeed                   -  -  -  "Rotor speed" (RPM)
typedef  ^                    ^              ^           BldPitch                   -  -  -  "Blade pitch" (rad)
typedef  ^                    ^              ^           NacYaw                     -  -  -  "Nacelle-yaw angle" (rad)
